 ,phylum,class,order,family,genus,specificEpithet,sex,measurementType,measurementValue,measurementUnit,temperature,respiratoryQuotient,sampleSizeValue,comments,reference,inTextReference,publicationYear,fullReference,measurementMethod,metadataComment
169,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,brain size,23.2,g,,,,Lemur mongoz,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
169,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,body mass,1808,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
170,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,brain size,25.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
170,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,body mass,1305,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
171,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,brain size,23.1,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
171,Chordata,Mammalia,Primates,Lemuridae,Eulemur,mongoz,,body mass,1565,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
172,Chordata,Mammalia,Primates,Lemuridae,Lemur,catta,,brain size,20.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
172,Chordata,Mammalia,Primates,Lemuridae,Lemur,catta,,body mass,2350,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
173,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,potto,,brain size,10.9,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
173,Chordata,Mammalia,Primates,Lorisidae,Perodicticus,potto,,body mass,538,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
174,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,tardigradus,,brain size,14.4,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
174,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,tardigradus,,body mass,527,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
175,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,tardigradus,,brain size,10.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
175,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,tardigradus,,body mass,365,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
176,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,10,g,,,,Pteropus edwardsi,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
176,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,382,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
177,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,7,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
177,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,414,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
178,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,6.2,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
178,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,325,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
179,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,6.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
179,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,405,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
180,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,7.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
180,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,323,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
181,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,7.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
181,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,380,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
182,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,brain size,6.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
182,Chordata,Mammalia,Chiroptera,Pteropodidae,Pteropus,giganteus,,body mass,395,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
183,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,6.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
183,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,718,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
184,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.6,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
184,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,669,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
185,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
185,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,515,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
186,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
186,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,497,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
187,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
187,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,925,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
188,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
188,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,920,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
189,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
189,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,985,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
190,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
190,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,448,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
191,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,brain size,3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
191,Chordata,Mammalia,Eulipotyphla,Erinaceidae,Erinaceus,europaeus,,body mass,690,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
192,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,europaea,,brain size,1.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
192,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,europaea,,body mass,77,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
193,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,fulgens,,brain size,46.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
193,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,fulgens,,body mass,5590,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
194,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,putorius,,brain size,7.5,g,,,,Putorius putorius,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
195,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,putorius,,body mass,415,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
196,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,brain size,4.6,g,,,,Arctogale ermineus,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
196,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,body mass,179,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
197,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,brain size,4,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
197,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,body mass,98,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
198,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,brain size,3.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
198,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,erminea,,body mass,102,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
199,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,vittata,,brain size,15.3,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
199,Chordata,Mammalia,Carnivora,Mustelidae,Galictis,vittata,,body mass,920,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
200,Chordata,Mammalia,Carnivora,Mustelidae,Eira,barbara,,brain size,44.2,g,,,,Galera barbara,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
200,Chordata,Mammalia,Carnivora,Mustelidae,Eira,barbara,,body mass,2000,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
201,Chordata,Mammalia,Carnivora,Canidae,Canis,mesomelas,,brain size,54.8,g,,,,Thous mesomelas,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
201,Chordata,Mammalia,Carnivora,Canidae,Canis,mesomelas,,body mass,8000,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
202,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,brain size,46.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
202,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,body mass,2910,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
203,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,brain size,43.6,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
203,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,body mass,2550,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
204,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,brain size,50.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
204,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,body mass,4235,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
205,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,,brain size,54,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
206,Chordata,Mammalia,Dasyuromorphia,Herpestidae,Mungos,mungo,,brain size,10.8,g,,,,Crossarchus zebra,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
206,Chordata,Mammalia,Dasyuromorphia,Herpestidae,Mungos,mungo,,body mass,930,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
207,Chordata,Mammalia,Dasyuromorphia,Viverridae,Paradoxurus,hermaphroditus,,brain size,23.7,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
207,Chordata,Mammalia,Dasyuromorphia,Viverridae,Paradoxurus,hermaphroditus,,body mass,3047,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
211,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,smithii,,brain size,14.6,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
211,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,smithii,,body mass,1205,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
212,Chordata,Mammalia,Carnivora,Viverridae,Genetta,pardina,,brain size,15.4,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
212,Chordata,Mammalia,Carnivora,Viverridae,Genetta,pardina,,body mass,1032,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
213,Chordata,Mammalia,Carnivora,Felidae,Caracal,caracal,,brain size,51.9,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
213,Chordata,Mammalia,Carnivora,Felidae,Caracal,caracal,,body mass,7670,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
214,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,32,g,,,,Felis domestica,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
214,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3960,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
215,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,30,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
215,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3620,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
216,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,25.1,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
216,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3460,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
217,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,32.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
217,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3743,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
218,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,28.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
218,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,2577,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
219,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,25.2,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
219,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3480,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
220,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,24.8,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
220,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,3580,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
221,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,brain size,21.5,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
221,Chordata,Mammalia,Carnivora,Felidae,Felis,silvestris,,body mass,2580,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
222,Chordata,Mammalia,Carnivora,Felidae,Panthera,leo,,brain size,259.5,g,,,,Uncia leo,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,German?
222,Chordata,Mammalia,Carnivora,Felidae,Panthera,leo,,body mass,84000,g,,,,,203,"Warnke, 1908",1908,"Warnke, P. (1908). Mitteilung neuer Gehirn-und Körpergewichtsbestimmungen bei Saugern. J. Psychol. Neurol., 13, 355-403.",,
